cino,date,from_court_no,from_judge,to_court_no,to_judge
BRGA020007042017,2020-10-06,16,Judicial Magistrate 1st Class,26,Judicial Magistrate 1st Class
BRGA010025822020,2020-03-03,1,District and Sessions Judge,8,Addl. District and Sessions Judge-V
BRGA020009252018,2022-08-04,1,Chief Judicial Magistrate,38,Judicial Magistrate 1st Class
BRGA010084672020,2020-11-06,1,District and Sessions Judge,4,Addl. District and Sessions Judge-I
BRGA010073062021,2021-08-07,1,District and Sessions Judge,6,Special Judge SC/ST Act
BRGA010033272021,2021-03-08,1,District and Sessions Judge,8,Addl. District and Sessions Judge-V
BRGA010076472021,2021-08-05,1,District and Sessions Judge,23,Addl District and Sessions Judge- XVI
BRGA020026612022,2023-01-09,5,Addl. Chief Judicial Magistrate -X,24,Judicial Magistrate 1st Class
BRGA020007842017,2019-06-29,1,Chief Judicial Magistrate,13,Judicial Magistrate 1st  Class-I
BRGA010160412021,2022-06-07,1,District and Sessions Judge,13,Addl. District and Sessions Judge-IV
BRGA010160412021,2022-08-04,13,Addl. District and Sessions Judge-IV,21,Addl District and Sessions Judge- XII
BRVA010027572022,2022-04-07,1,District and Sessions Judge,17,A.D.J 12th
BRVA020020372020,2021-07-23,1,C.J.M,26,S Swetanki J.M 1st Class
BRVA020020372020,2022-06-23,26,S Swetanki J.M 1st Class,3,A.C.J.M 2nd
BRVA020085232019,2019-10-15,1,C.J.M,2,A.C.J.M 1st
BRVA010014982016,2021-12-09,4,A.D.J 1st,9,A.D.J 3rd
BRVA010105592022,2022-12-09,1,District and Sessions Judge,4,A.D.J 1st
BRVA020043202018,2019-11-20,1,C.J.M,5,A.C.J.M 4th
BRVA020043202018,2020-12-22,5,A.C.J.M 4th,4,A.C.J.M 3rd
BRVA020027862016,2019-09-02,1,C.J.M,16,A.C.J.M 15th
BRVA020027862016,2022-09-19,16,A.C.J.M 15th,33,Abhishek K J.M 1st Class
BRVA010032082018,2021-12-09,4,A.D.J 1st,9,A.D.J 3rd
BRVA020038422022,2022-09-05,1,C.J.M,34,Uzma Q J.M 1st Class
BRVA020041522018,2019-10-23,1,C.J.M,21,Hema K J.M 1st Class
BRVA020041522018,2021-11-01,21,Hema K J.M 1st Class,24,Shobha J.M 1st Class
BRVA010050812018,2018-12-17,1,District and Sessions Judge,9,A.D.J 3rd
BRVA010050812018,2019-02-08,9,A.D.J 3rd,12,A.D.J 6th
BRVA020007762016,2019-07-06,20,K.G.Gaurav J.M 1st Class,21,Hema K J.M 1st Class
BRVA020007762016,2021-11-01,21,Hema K J.M 1st Class,24,Shobha J.M 1st Class
BRVA020027882016,2019-09-02,1,C.J.M,28,J.M.S.C -7
BRVA020027882016,2022-08-24,28,Vandana J.M 1st Class,31,Mukesh K J.M 1st Class
