Category,State/UT,Offense_Category,Offense_Subcategory,Incidents
State,Haryana,Non-Custodial,Women Below 16 years of age,0
State,Himachal Pradesh,Non-Custodial,Women Below 16 years of age,23
State,Jammu & Kashmir,Non-Custodial,Women Below 16 years of age,0
State,Jharkhand,Non-Custodial,Women Below 16 years of age,31
State,Karnataka,Non-Custodial,Women Below 16 years of age,0
State,Kerala,Non-Custodial,Women Below 16 years of age,203
State,Madhya Pradesh,Non-Custodial,Women Below 16 years of age,73
State,Maharashtra,Non-Custodial,Women Below 16 years of age,54
State,Manipur,Non-Custodial,Women Below 16 years of age,6
State,Meghalaya,Non-Custodial,Women Below 16 years of age,20
State,Mizoram,Non-Custodial,Women Below 16 years of age,0
State,Nagaland,Non-Custodial,Women Below 16 years of age,0
State,Odisha,Non-Custodial,Women Below 16 years of age,9
State,Punjab,Non-Custodial,Women Below 16 years of age,22
State,Rajasthan,Non-Custodial,Women Below 16 years of age,124
State,Sikkim,Non-Custodial,Women Below 16 years of age,0
State,Tamil Nadu,Non-Custodial,Women Below 16 years of age,0
State,Telangana,Non-Custodial,Women Below 16 years of age,2
State,Tripura,Non-Custodial,Women Below 16 years of age,0
State,Uttar Pradesh,Non-Custodial,Women Below 16 years of age,0
State,Uttarakhand,Non-Custodial,Women Below 16 years of age,33
State,West Bengal,Non-Custodial,Women Below 16 years of age,0
UT,Andaman & Nicobar Islands,Non-Custodial,Women Below 16 years of age,0
UT,Chandigarh,Non-Custodial,Women Below 16 years of age,0
UT,Dadra & Nagar Haveli,Non-Custodial,Women Below 16 years of age,0
UT,Daman & Diu,Non-Custodial,Women Below 16 years of age,0
UT,Delhi,Non-Custodial,Women Below 16 years of age,0
UT,Lakshadweep,Non-Custodial,Women Below 16 years of age,0
UT,Puducherry,Non-Custodial,Women Below 16 years of age,0
State,Andhra Pradesh,Non-Custodial,Women Incapable of giving Consent,12
State,Arunachal Pradesh,Non-Custodial,Women Incapable of giving Consent,0
State,Assam,Non-Custodial,Women Incapable of giving Consent,21
State,Bihar,Non-Custodial,Women Incapable of giving Consent,0
State,Chhattisgarh,Non-Custodial,Women Incapable of giving Consent,35
State,Goa,Non-Custodial,Women Incapable of giving Consent,0
State,Gujarat,Non-Custodial,Women Incapable of giving Consent,0
State,Haryana,Non-Custodial,Women Incapable of giving Consent,0
State,Himachal Pradesh,Non-Custodial,Women Incapable of giving Consent,0
State,Jammu & Kashmir,Non-Custodial,Women Incapable of giving Consent,0
State,Jharkhand,Non-Custodial,Women Incapable of giving Consent,0
State,Karnataka,Non-Custodial,Women Incapable of giving Consent,0
State,Kerala,Non-Custodial,Women Incapable of giving Consent,19
State,Madhya Pradesh,Non-Custodial,Women Incapable of giving Consent,26
State,Maharashtra,Non-Custodial,Women Incapable of giving Consent,23
State,Manipur,Non-Custodial,Women Incapable of giving Consent,0
State,Meghalaya,Non-Custodial,Women Incapable of giving Consent,0
State,Mizoram,Non-Custodial,Women Incapable of giving Consent,0
State,Nagaland,Non-Custodial,Women Incapable of giving Consent,0
State,Odisha,Non-Custodial,Women Incapable of giving Consent,1
State,Punjab,Non-Custodial,Women Incapable of giving Consent,0
State,Rajasthan,Non-Custodial,Women Incapable of giving Consent,216
State,Sikkim,Non-Custodial,Women Incapable of giving Consent,0
State,Tamil Nadu,Non-Custodial,Women Incapable of giving Consent,0
State,Telangana,Non-Custodial,Women Incapable of giving Consent,40
State,Tripura,Non-Custodial,Women Incapable of giving Consent,0
State,Uttar Pradesh,Non-Custodial,Women Incapable of giving Consent,0
State,Uttarakhand,Non-Custodial,Women Incapable of giving Consent,0
State,West Bengal,Non-Custodial,Women Incapable of giving Consent,0
UT,Andaman & Nicobar Islands,Non-Custodial,Women Incapable of giving Consent,0
UT,Chandigarh,Non-Custodial,Women Incapable of giving Consent,0
UT,Dadra & Nagar Haveli,Non-Custodial,Women Incapable of giving Consent,0
UT,Daman & Diu,Non-Custodial,Women Incapable of giving Consent,0
UT,Delhi,Non-Custodial,Women Incapable of giving Consent,0
UT,Lakshadweep,Non-Custodial,Women Incapable of giving Consent,0
UT,Puducherry,Non-Custodial,Women Incapable of giving Consent,0
State,Andhra Pradesh,Non-Custodial,Persons in Control or Dominance over women,2
State,Arunachal Pradesh,Non-Custodial,Persons in Control or Dominance over women,0
State,Assam,Non-Custodial,Persons in Control or Dominance over women,36
State,Bihar,Non-Custodial,Persons in Control or Dominance over women,0
State,Chhattisgarh,Non-Custodial,Persons in Control or Dominance over women,1
State,Goa,Non-Custodial,Persons in Control or Dominance over women,0
State,Gujarat,Non-Custodial,Persons in Control or Dominance over women,1
State,Haryana,Non-Custodial,Persons in Control or Dominance over women,0
State,Himachal Pradesh,Non-Custodial,Persons in Control or Dominance over women,0
State,Jammu & Kashmir,Non-Custodial,Persons in Control or Dominance over women,0
State,Jharkhand,Non-Custodial,Persons in Control or Dominance over women,0
State,Karnataka,Non-Custodial,Persons in Control or Dominance over women,0
State,Kerala,Non-Custodial,Persons in Control or Dominance over women,5
State,Madhya Pradesh,Non-Custodial,Persons in Control or Dominance over women,12
State,Maharashtra,Non-Custodial,Persons in Control or Dominance over women,3
State,Manipur,Non-Custodial,Persons in Control or Dominance over women,0
State,Meghalaya,Non-Custodial,Persons in Control or Dominance over women,1
State,Mizoram,Non-Custodial,Persons in Control or Dominance over women,1
State,Nagaland,Non-Custodial,Persons in Control or Dominance over women,0
State,Odisha,Non-Custodial,Persons in Control or Dominance over women,1
State,Punjab,Non-Custodial,Persons in Control or Dominance over women,0
State,Rajasthan,Non-Custodial,Persons in Control or Dominance over women,118
State,Sikkim,Non-Custodial,Persons in Control or Dominance over women,0
State,Tamil Nadu,Non-Custodial,Persons in Control or Dominance over women,1
State,Telangana,Non-Custodial,Persons in Control or Dominance over women,0
State,Tripura,Non-Custodial,Persons in Control or Dominance over women,0
State,Uttar Pradesh,Non-Custodial,Persons in Control or Dominance over women,0
State,Uttarakhand,Non-Custodial,Persons in Control or Dominance over women,0
State,West Bengal,Non-Custodial,Persons in Control or Dominance over women,0
UT,Andaman & Nicobar Islands,Non-Custodial,Persons in Control or Dominance over women,0
UT,Chandigarh,Non-Custodial,Persons in Control or Dominance over women,0
UT,Dadra & Nagar Haveli,Non-Custodial,Persons in Control or Dominance over women,0
UT,Daman & Diu,Non-Custodial,Persons in Control or Dominance over women,0
UT,Delhi,Non-Custodial,Persons in Control or Dominance over women,0
UT,Lakshadweep,Non-Custodial,Persons in Control or Dominance over women,0
UT,Puducherry,Non-Custodial,Persons in Control or Dominance over women,0
State,Andhra Pradesh,Non-Custodial,Women with Mental or Physical disability,8
State,Arunachal Pradesh,Non-Custodial,Women with Mental or Physical disability,2
State,Assam,Non-Custodial,Women with Mental or Physical disability,1
State,Bihar,Non-Custodial,Women with Mental or Physical disability,0
State,Chhattisgarh,Non-Custodial,Women with Mental or Physical disability,4
State,Goa,Non-Custodial,Women with Mental or Physical disability,0
State,Gujarat,Non-Custodial,Women with Mental or Physical disability,4
State,Haryana,Non-Custodial,Women with Mental or Physical disability,0
State,Himachal Pradesh,Non-Custodial,Women with Mental or Physical disability,0
State,Jammu & Kashmir,Non-Custodial,Women with Mental or Physical disability,0
State,Jharkhand,Non-Custodial,Women with Mental or Physical disability,0
State,Karnataka,Non-Custodial,Women with Mental or Physical disability,5
State,Kerala,Non-Custodial,Women with Mental or Physical disability,17
State,Madhya Pradesh,Non-Custodial,Women with Mental or Physical disability,17
State,Maharashtra,Non-Custodial,Women with Mental or Physical disability,29
State,Manipur,Non-Custodial,Women with Mental or Physical disability,0
State,Meghalaya,Non-Custodial,Women with Mental or Physical disability,2
State,Mizoram,Non-Custodial,Women with Mental or Physical disability,1
State,Nagaland,Non-Custodial,Women with Mental or Physical disability,0
State,Odisha,Non-Custodial,Women with Mental or Physical disability,0
State,Punjab,Non-Custodial,Women with Mental or Physical disability,3
State,Rajasthan,Non-Custodial,Women with Mental or Physical disability,2
State,Sikkim,Non-Custodial,Women with Mental or Physical disability,0
State,Tamil Nadu,Non-Custodial,Women with Mental or Physical disability,3
State,Telangana,Non-Custodial,Women with Mental or Physical disability,10
State,Tripura,Non-Custodial,Women with Mental or Physical disability,0
State,Uttar Pradesh,Non-Custodial,Women with Mental or Physical disability,0
State,Uttarakhand,Non-Custodial,Women with Mental or Physical disability,0
State,West Bengal,Non-Custodial,Women with Mental or Physical disability,7
UT,Andaman & Nicobar Islands,Non-Custodial,Women with Mental or Physical disability,0
UT,Chandigarh,Non-Custodial,Women with Mental or Physical disability,0
UT,Dadra & Nagar Haveli,Non-Custodial,Women with Mental or Physical disability,0
UT,Daman & Diu,Non-Custodial,Women with Mental or Physical disability,0
UT,Delhi,Non-Custodial,Women with Mental or Physical disability,1
UT,Lakshadweep,Non-Custodial,Women with Mental or Physical disability,0
UT,Puducherry,Non-Custodial,Women with Mental or Physical disability,0
State,Andhra Pradesh,Non-Custodial,Endanger life of Women,0
State,Arunachal Pradesh,Non-Custodial,Endanger life of Women,0
State,Assam,Non-Custodial,Endanger life of Women,0
State,Bihar,Non-Custodial,Endanger life of Women,0
State,Chhattisgarh,Non-Custodial,Endanger life of Women,3
State,Goa,Non-Custodial,Endanger life of Women,0
State,Gujarat,Non-Custodial,Endanger life of Women,2
State,Haryana,Non-Custodial,Endanger life of Women,0
State,Himachal Pradesh,Non-Custodial,Endanger life of Women,0
State,Jammu & Kashmir,Non-Custodial,Endanger life of Women,0
State,Jharkhand,Non-Custodial,Endanger life of Women,0
