Year,State_UT,Is_Detailed_Subcategory,Count,Crime_Head_Standardized,Crime_Head_Subcategory
2002,Bihar,False,927.0,Cruelty & Dowry Offenses,Dowry Death
2002,Bihar,False,10.0,Human Trafficking,Immoral Traffic (Prevention) Act
2002,Bihar,False,1.0,Special & Local Laws,Indecent Representation of Women Act
2002,Bihar,False,6.0,Assault & Sexual Harassment,Insult to Modesty of Women
2002,Bihar,False,744.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2002,Bihar,False,1040.0,Rape & Attempted Rape,Rape (General/Other)
2002,Chandigarh,False,36.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2002,Chandigarh,False,56.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2002,Chandigarh,False,1.0,Cruelty & Dowry Offenses,Dowry Death
2002,Chandigarh,False,3.0,Human Trafficking,Immoral Traffic (Prevention) Act
2002,Chandigarh,False,0.0,Special & Local Laws,Indecent Representation of Women Act
