mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900514,Shreegopal Vyas,Elected,03-04-2006,02-04-2012,First Term,N/A,Chhattisgarh,Bharatiya Janata Party,Male,Professional Graduate,"B. E.(Hons.), LL.B. Educated at Saugar University, Jabalpur, Madhya Pradesh and Ravishankar Vishwavidyalaya, Raipur, Chattisgarh",92,79,3,533,0.990950226, Data corresponds to the period from 01-06-2009 to 10-02-2024.,23.58244777,0.61776919,178.9718321,0.787043243,24.8,0.6,325.7,0.859688271,Rajya Sabha
900327,Narayan Lal Panchariya,Elected,10-04-2014,09-04-2020,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,"M.Com., LL.B. Educated at Rajasthan University, Jaipur, Rajasthan and Jodhpur University, Jodhpur, Rajasthan",69,71,11,704,0.960784314, Data corresponds to the period from 01-06-2009 to 10-02-2024.,97.86446071,1.500965027,324.7388369,0.787043243,69.44166667,2.583333333,274.8055556,0.822358304,Rajya Sabha
900136,Dilipbhai Shivshankarbhai Pandya,Elected,18-08-2011,18-08-2017,First Term,N/A,Gujarat,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at University of Bombay, Mumbai",80,22,2,458,0.923076923, Data corresponds to the period from 01-06-2009 to 10-02-2024.,77.67426676,1.242523168,338.7173119,0.787043243,50.56447719,2.838383838,349.1748945,0.840459932,Rajya Sabha
900051,Anubhav Mohanty (RS),Elected,13-06-2014,22-05-2019,First Term,N/A,Odisha,Biju Janata Dal,Male,Graduate,B.Com.,42,45,2,451,0.649842271, Data corresponds to the period from 01-06-2009 to 10-02-2024.,67.76869117,1.052517778,269.15714,0.787043243,57.08888889,0.2,303.9333333,0.780593478,Rajya Sabha
900584,Vijay Jawaharlal Darda,Elected,05-07-2010,04-07-2016,Third Term,N/A,Maharashtra,Indian National Congress,Male,Diploma Course,Diploma in Jounalism & Printing Technology,74,65,14,1028,0.553149606, Data corresponds to the period from 01-06-2009 to 10-02-2024.,73.38640297,1.513728021,400.598497,0.787043243,75.6213352,3.135690943,648.2781629,0.776425958,Rajya Sabha
900357,Palvai Govardhan Reddy,Elected,03-04-2012,09-06-2017,Second Term,N/A,Telangana,Indian National Congress,Male,Graduate,"B.A. Educated at Vivekavardhini College, Osmania University",87,78,1,632,0.825842697, Data corresponds to the period from 01-06-2009 to 10-02-2024.,67.25339694,1.162626579,282.2000828,0.787043243,95.11428571,0.571428571,357.4285714,0.71613233,Rajya Sabha
900226,Kanimozhi,Elected,25-07-2007,23-05-2019,Second Term,N/A,Tamil Nadu,Dravida Munnetra Kazhagam,Female,Post Graduate,M.A. ( Economics),56,141,3,617,0.570336391, Data corresponds to the period from 01-06-2009 to 10-02-2024.,107.0356492,2.020569023,553.4062637,0.787043243,144.4276961,1.251633987,698.9207516,0.713206211,Rajya Sabha
900456,Ronald Sapa Tlau,Elected,19-07-2014,18-07-2020,First Term,N/A,Mizoram,Indian National Congress,Male,Post Graduate,"M.A. (Mass Communication) Educated at Spicer College, Pune and Howard University, Washington D.C., U.S.A.",70,23,1,67,0.832098765, Data corresponds to the period from 01-06-2009 to 10-02-2024.,96.36975985,1.428315454,318.4183241,0.787043243,23,1,67,0.892940252,Rajya Sabha
900090,Bharatkumar Raut,Elected,03-04-2008,02-04-2014,First Term,N/A,Maharashtra,Shiv Sena,Male,Post Graduate,"M.A. (Politics) Educated at University of Bombay, Mumbai",71,121,1,203,0.859550562, Data corresponds to the period from 01-06-2009 to 10-02-2024.,39.07140246,0.968051246,284.2491237,0.787043243,46.95140056,1.377521008,470.5297969,0.776425958,Rajya Sabha
900732,Amarpal Maurya,Elected,03-04-2024,In Office,First Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Male,Information not available,Information not available,Info Not Available,N/A,N/A,N/A,N/A, Data corresponds to the period from 01-06-2009 to 10-02-2024.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rajya Sabha
